material,base,height,thickness,grams,price_unit,shipping,url
steel,40,100,2,277,3.29,3.99,https://www.bauhaus.es/soportes-para-vigas/stabilit-soporte-para-vigas-tipo-a/p/10677055
steel,45,90,2,,1.49,11,https://www.wovar.es/soporte-galvanizado-para-vigas-de-45-x-90mm/
steel,45,145,2,,2.19,11,https://www.wovar.es/soporte-galvanizado-para-vigas-de-45-x-145mm/
steel,45,170,2,,1.99,11,https://www.wovar.es/soporte-galvanizado-para-vigas-de-45-x-170mm/
steel,50,80,2,,3.59,11,https://www.wovar.es/soporte-galvanizado-para-vigas-de-5x8cm/
steel,50,100,2,,1.69,11,https://www.wovar.es/soporte-galvanizado-para-vigas-de-5x10cm/
steel,50,105,2,,1.99,11,https://www.wovar.es/soporte-galvanizado-para-vigas-de-50-x-105mm/
steel,50,105,2,290,2.59,3.99,https://www.bauhaus.es/soportes-para-vigas/stabilit-soporte-para-vigas/p/10125758
steel,50,135,2,,2.19,11,https://www.wovar.es/soporte-galvanizado-para-vigas-de-5x13-5cm/
steel,50,175,2,,3.99,11,https://www.wovar.es/soporte-galvanizado-extrafuerte-para-vigas-de-5-x-175-cm/
steel,60,100,2,,4.99,11,https://www.wovar.es/soporte-galvanizado-extrafuerte-para-vigas-de-6-x-10-cm/
steel,60,100,2,267,3.49,3.99,https://www.bauhaus.es/soportes-para-vigas/stabilit-soporte-para-vigas-tipo-a/p/10677079
steel,60,100,2,285,3.49,3.99,https://www.bauhaus.es/soportes-para-vigas/stabilit-soporte-para-vigas-tipo-b/p/10677134
steel,60,100,2,268,15.99,3.99,https://www.bauhaus.es/soportes-para-vigas/alberts-soporte-para-vigas/p/31563965
steel,60,130,2,,2.19,11,https://www.wovar.es/soporte-galvanizado-para-vigas-de-60-x-130mm/
steel,70,95,2,,3.79,11,https://www.wovar.es/soporte-galvanizado-para-vigas-de-70x95mm/
steel,70,100,2,268,6.99,3.99,https://www.bauhaus.es/soportes-para-vigas/alberts-soporte-para-vigas-duravis/p/27621172
steel,70,120,2,332,7.49,3.99,https://www.bauhaus.es/soportes-para-vigas/alberts-soporte-para-vigas-duravis/p/27602654
steel,70,120,2,,4.09,11,https://www.wovar.es/soporte-galvanizado-extrafuerte-para-vigas-de-7-x-12-cm/
steel,70,125,2,,2.19,11,https://www.wovar.es/soporte-galvanizado-para-vigas-de-70-x-145mm/
steel,70,170,2,,2.49,11,https://www.wovar.es/soporte-galvanizado-para-vigas-de-7x17cm/
steel,70,200,2,,2.99,11,https://www.wovar.es/soporte-galvanizado-para-vigas-de-7x20cm/
steel,70,220,2,,3.19,11,https://www.wovar.es/soporte-galvanizado-para-vigas-de-7x22cm/
steel,70,245,2,,6.09,11,https://www.wovar.es/soporte-galvanizado-para-vigas-de-70-x-245mm/
steel,80,110,2,,3.99,11,https://www.wovar.es/soporte-galvanizado-para-vigas-de-8-x-11cm/
steel,80,120,2,390,19.99,3.99,https://www.bauhaus.es/soportes-para-vigas/stabilit-soporte-para-vigas/p/10679761
steel,80,120,2,325,3.79,3.99,https://www.bauhaus.es/soportes-para-vigas/stabilit-soporte-para-vigas-tipo-a/p/10677093
steel,80,120,2,332,7.49,3.99,https://www.bauhaus.es/soportes-para-vigas/alberts-soporte-para-vigas-duravis/p/27572234
steel,80,120,2,381,4.29,3.99,https://www.bauhaus.es/soportes-para-vigas/stabilit-soporte-para-vigas-tipo-b/p/10677158
steel,80,120,2,,5.99,11,https://www.wovar.es/soporte-galvanizado-extrafuerte-para-vigas-de-8-x-12-cm/
steel,80,130,2,,3.19,11,https://www.wovar.es/soporte-galvanizado-para-vigas-de-8x13cm/
steel,80,150,2,,3.59,11,https://www.wovar.es/soporte-galvanizado-para-vigas-de-8x15cm/
steel,80,180,2,,4.19,11,https://www.wovar.es/soporte-galvanizado-para-vigas-de-8-x-18-cm/
steel,80,210,2,,5.09,11,https://www.wovar.es/soporte-galvanizado-para-vigas-de-8-x-21-cm/
steel,90,88,2,252,2.99,3.99,https://www.bauhaus.es/soportes-para-vigas/stabilit-soporte-para-vigas-tipo-a/p/10677206
steel,90,88,2,247,2.99,3.99,https://www.bauhaus.es/soportes-para-vigas/stabilit-soporte-para-vigas-tipo-b/p/10677165
steel,95,140,2,304,3.59,3.99,https://www.bauhaus.es/soportes-para-vigas/stabilit-soporte-para-vigas/p/10125583
steel,100,140,2,,6.99,11,https://www.wovar.es/soporte-galvanizado-extrafuerte-para-vigas-de-10-x-14-cm/
steel,100,140,2,389,4.29,3.99,https://www.bauhaus.es/soportes-para-vigas/stabilit-soporte-para-vigas-tipo-a/p/10677110
steel,100,140,2,443,4.59,3.99,https://www.bauhaus.es/soportes-para-vigas/stabilit-soporte-para-vigas-tipo-b/p/20583943
steel,100,140,2,398,4.29,3.99,https://www.bauhaus.es/soportes-para-vigas/stabilit-soporte-para-vigas-tipo-a/p/10677110
steel,100,140,2,440,4.59,3.99,https://www.bauhaus.es/soportes-para-vigas/stabilit-soporte-para-vigas/p/10125882
steel,100,150,2,,3.59,11,https://www.wovar.es/soporte-galvanizado-para-vigas-de-10-x-15-cm/
steel,120,160,2,516,3.99,3.99,https://www.bauhaus.es/soportes-para-vigas/stabilit-soporte-para-vigas-tipo-a/p/20569891
steel,120,160,2,516,3.99,3.99,https://www.bauhaus.es/soportes-para-vigas/stabilit-soporte-para-vigas-tipo-a/p/20569891
steel,120,160,2,524,4.69,3.99,https://www.bauhaus.es/soportes-para-vigas/stabilit-soporte-para-vigas-tipo-b/p/20574415
steel,120,160,2,524,7.99,3.99,https://www.bauhaus.es/soportes-para-vigas/alberts-soporte-para-vigas/p/31512046
steel,120,160,2,,7.99,11,https://www.wovar.es/soporte-galvanizado-extrafuerte-para-vigas-de-12-x-16-cm/
