material,type,base,height,length,shape,cost_unit,flange_thickness,web_thickness,url
c24,beam,33,70,3000,rectangular,7.66,,,https://www.obramat.es/productos/viga-pino-macizo-tratamiento-autoclave-300x7x3-3-cm-25059078.html
c24,beam,35,225,2500,rectangular,29.79,,,https://www.leroymerlin.es/productos/tablon-viga-madera-maciza-3-5x22-5x250-cm-84026571.html
c24,beam,45,75,4000,rectangular,9.5,,,https://www.obramat.es/productos/viga-pino-macizo-tratamiento-autoclave-300x9x4-5-cm-25059073.html
c24,beam,45,90,3000,rectangular,12.58,,,https://www.obramat.es/productos/viga-pino-macizo-tratamiento-autoclave-300x9x4-5-cm-25059073.html
c24,beam,45,95,13500,rectangular,150,,,https://www.leroymerlin.es/productos/pack-de-6-tablones-viga-madera-de-pino-tratado-45x95x2250-mm-89253053.html
c24,beam,50,150,3000,rectangular,42.99,,,https://www.leroymerlin.es/productos/tablon-viga-madera-maciza-tratado-5x15x300-cm-84026567.html
c24,beam,50,120,4500,rectangular,73.99,,,https://www.leroymerlin.es/productos/viga-madera-laminada-tratado-5x12x450-cm-84026557.html
c24,beam,60,120,4000,rectangular,47.49,,,https://www.obramat.es/productos/viga-pino-laminado-con-tratamiento-autoclave-400x12x6-cm-25059074.html
c24,beam,80,160,4000,rectangular,69.55,,,https://www.obramat.es/productos/viga-pino-laminado-con-tratamiento-autoclave-400x16x8-cm-25059072.html
c24,beam,100,200,2050,rectangular,37.99,,,https://www.leroymerlin.es/productos/traviesa-de-madera-de-pino-tratada-para-exterior-10x20x205-cm-16718051.html
osb,floor,200,15,2050,rectangular,4.226,,,https://www.leroymerlin.es/productos/tablero-osb-virutas-madera-pino-canto-machiembrado-62-5x205x0-15-anchoxaltoxgrosor-19095790.html
c14,floor,600,18,2000,rectangular,23.5,,,https://www.leroymerlin.es/productos/tablero-macizo-pino-natural-200x60x1-8-cm-88112863.html
c18,floor,600,18,2000,rectangular,25,,,https://www.leroymerlin.es/productos/tablero-macizo-madera-pino-de-60x200cm-y-18mm-de-espesor-15531173.html
c18,floor,115,21,3000,rectangular,7.66,,,https://www.obramat.es/productos/tabla-pino-techo-machihembrada-con-autoclave-300x11-5x2-1-cm-25059075.html
c24,floor,145,27,3000,rectangular,13.1,,,https://www.obramat.es/productos/tabla-suelo-pino-macizo-tratamiento-ranurado-2-7x14-5x300-cm-25059068.html
c18,floor,200,25,2500,rectangular,6.62,,,https://www.obramat.es/productos/tabla-250x20x2-5-cm-25059064.html
obs,floor,610,19,2050,rectangular,12.37,,,https://www.obramat.es/productos/tablero-aglomerado-hidrofugo-machihembrado-205x61x1-9cm-10326421.html
s275,steel,42,80,1950,IPN80,22.02,5.9,3.9,https://ferroslapobla.com/perfiles-y-vigas/vigas-ipn80-mm/
s275,steel,46,80,2000,IPE80,33.5,5.2,3.8,https://www.amazon.es/Viga-Ipe-longitud-Metre-metres/dp/B01N8OKZSU/
s275,steel,50,100,1950,IPN100,30.79,6.8,4.5,https://ferroslapobla.com/perfiles-y-vigas/vigas-ipn80-mm/
